Period,Strategy,Total Return,CAGR,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,Daily Hit Rate,Trading Days
PRE,proposal_baseline,-0.3592516208848202,-0.10590742331186898,0.031867661961285064,-3.496134652768278,-4.649491985557405,-0.3742725703684542,-0.28296870168072424,0.35573580533024335,1002
PRE,optimized_equal_1x,0.04507720163404616,0.011263435449406556,0.026998639776027247,0.42832886464923214,0.43666140168026324,-0.032443388195588785,0.34717198405738664,0.5098360655737705,992
PRE,optimized_aggressive_3x,0.13169110311143495,0.0319261551005805,0.08099591932808174,0.4283288646492322,0.4366614016802633,-0.0951532556479674,0.3355235181725754,0.5098360655737705,992
PRE,optimized_vol_target_garch,0.20563803228577981,0.04865280420430995,0.1355052540883136,0.4189571602732188,0.39431353587101486,-0.14162826792598127,0.34352467142885074,0.5131147540983606,992
PRE,optimized_risk_balanced_garch,0.12536417235679198,0.030457532240866447,0.08724773130768164,0.38787850336644547,0.34911212337533565,-0.09886380864742605,0.3080756513183292,0.511437908496732,992
PRE,optimized_vol_target_garch_20bps,0.022889332174107935,0.005765638283017349,0.13690822926770402,0.11113555080749404,0.1044137367355903,-0.21148705829468684,0.027262369288732023,0.5016393442622951,992
POST,proposal_baseline,-0.12947532553726648,-0.06749822521129734,0.036036684999276404,-1.9209993529204663,-2.4840699074585646,-0.13901823195134821,-0.48553505726442764,0.42245989304812837,500
POST,optimized_equal_1x,0.02308862403310563,0.01173604298932207,0.028623728304490666,0.42193157281259136,0.39482137637931636,-0.031022391696916007,0.3783087746419233,0.5111940298507462,493
POST,optimized_aggressive_3x,0.06572429937609758,0.033072605716547576,0.085871184913472,0.4219315728125914,0.39482137637931647,-0.0915962333135113,0.3610694951106582,0.5111940298507462,493
POST,optimized_vol_target_garch,0.13117992903723352,0.06503297617691439,0.12974209123252323,0.5504118771383384,0.5584864939455138,-0.11050856192061564,0.5884881229712422,0.5074626865671642,493
POST,optimized_risk_balanced_garch,0.08661159219746528,0.04337305983340367,0.0799913849967785,0.5705901783398026,0.6312756015251483,-0.06020304564190537,0.7204462726253354,0.503731343283582,493
POST,optimized_vol_target_garch_20bps,0.05662767228854215,0.028555825452939665,0.13070294163847843,0.28068789836006497,0.2843245945094853,-0.11327673336409749,0.2520890619360877,0.48507462686567165,493
RECENT,proposal_baseline,-0.11448804554959291,-0.08137450783370481,0.055649595135015106,-1.49729952870711,-1.7805686812698132,-0.15826800494131188,-0.514156401124028,0.3911290322580645,361
RECENT,optimized_equal_1x,0.042298793977046056,0.029424653027523506,0.02228718607167717,1.3123784665228437,1.3467648428801582,-0.02003947197684508,1.4683347476182347,0.5481927710843374,360
RECENT,optimized_aggressive_3x,0.1299294178227648,0.08927094871555363,0.06686155821503152,1.312378466522844,1.3467648428801586,-0.05925291543816935,1.5066085450041393,0.5481927710843374,360
RECENT,optimized_vol_target_garch,0.30515236934104917,0.20493286831921242,0.11516921409930561,1.6763016272517899,1.9992632837415794,-0.07555566512419543,2.712342853210965,0.5421686746987951,360
RECENT,optimized_risk_balanced_garch,0.2319165809760948,0.15719596448114692,0.08356827585661335,1.7885836628302125,2.6705870924930286,-0.04083180097654293,3.8498415627430425,0.5481927710843374,360
RECENT,optimized_vol_target_garch_20bps,0.24865914839053604,0.168182597898769,0.11550417200936802,1.4034645225019735,1.6851776577175133,-0.07808096414218468,2.15395134712361,0.5421686746987951,360
